Wavelength(nm),irradiance(¦ÌW/cm^2/nm)
339.619,0
340,0
340.381,0
340.762,0
341.143,0
341.524,0
341.904,0
342.285,0
342.666,0
343.046,0
343.427,0
343.807,0
344.188,0
344.568,0
344.949,0
345.329,-2.27
345.71,0.38
346.09,4.75
346.47,1.5
346.85,-0.06
347.23,0.14
347.611,0.1
347.991,-0.21
348.371,-0.19
348.751,0.08
349.131,-0.21
349.511,0.07
349.891,0.01
350.27,-0.08
350.65,0.09
351.03,-0.09
351.41,0.02
351.79,0.08
352.169,0.03
352.549,-0.05
352.928,-0.03
353.308,0.12
353.687,-0.08
354.067,0.01
354.446,0.08
354.826,-0.01
355.205,0
355.584,-0.06
355.964,-0.13
356.343,-0.08
356.722,0.01
357.101,0.06
357.48,0.01
357.859,0.01
358.238,0.05
358.617,0.01
358.996,0.09
359.375,-0.15
359.754,-0.06
360.133,-0.06
360.512,0
360.891,-0.08
361.269,-0.05
361.648,0.07
362.027,-0.03
362.405,-0.07
362.784,0.04
363.162,-0.04
363.541,0.01
363.919,-0.1
364.298,-0.01
364.676,-0.04
365.054,0.03
365.433,-0.05
365.811,0.01
366.189,0.01
366.567,0.05
366.945,0.03
367.323,-0.04
367.701,-0.09
368.079,-0.18
368.457,0
368.835,0
369.213,0.02
369.591,0.04
369.969,0.04
370.346,-0.12
370.724,0.05
371.102,0.05
371.479,-0.01
371.857,0
372.235,-0.04
372.612,0.03
372.99,-0.14
373.367,-0.01
373.744,0.01
374.122,-0.01
374.499,-0.04
374.876,0.03
375.254,-0.14
375.631,0.06
376.008,-0.01
376.385,-0.03
376.762,-0.04
377.139,0.03
377.516,0.02
377.893,0.04
378.27,-0.02
378.647,0.02
379.024,0.06
379.4,-0.05
379.777,0.05
380.154,0
380.53,0.02
380.907,-0.06
381.284,0.02
381.66,-0.01
382.037,0.03
382.413,0.06
382.79,0.03
383.166,-0.06
383.542,-0.01
383.919,-0.01
384.295,-0.01
384.671,0.06
385.047,0.05
385.423,0.01
385.799,0.03
